study,author,outcome_domain,outcome,outcome_timing,measure,es,ci.lo,ci.hi,sample.size,se,var,paste_es
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,High school diploma or GED,13 months,g,0.0519124211737971,-0.09252740478958754,0.19635224713718175,1114,0.07369514292237388,0.0054309740903491135,"0.05 [-0.09, 0.2]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,Participated in vocational training,12 months,g,0.18256352105490917,-0.03876208906041731,0.4038891311702356,1114,0.1129233046428989,0.012751672731472954,"0.18 [-0.04, 0.4]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,Enrolled in post secondary institution,12 months,g,0.01834860902833036,-0.1506958815843949,0.1873930996410556,1114,0.08624877392958578,0.007438851004356796,"0.02 [-0.15, 0.19]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,Enrolled in 2-year college,12 months,g,0.09534355673822544,-0.1081285724734516,0.2988156859499025,1114,0.10381421843290962,0.010777391948835872,"0.1 [-0.11, 0.3]"
YVLifeSet,"Courtney, Valentine and Skemer (2019)",education,Enrolled in 4-year college,12 months,g,-0.027719951496741488,-0.28044201384695566,0.22500211085347266,1114,0.12894219707283072,0.016626090185968712,"-0.03 [-0.28, 0.23]"
Independent Living Services (National Youth in Transition Database),Kim et al (2019),education,High school diploma or GED,48 months,g,0.12300353842701124,-0.017472482799173836,0.2634795596531963,4206,0.07167275640483298,0.005136984010666526,"0.12 [-0.02, 0.26]"
Independent Living Services (National Youth in Transition Database),Kim et al (2019),education,Undertook postsecondary education,48 months,g,0.10050120868426642,-0.007557269182029799,0.20855968655056262,4206,0.05513288954217921,0.0030396355092701336,"0.1 [-0.01, 0.21]"
Extended foster care in Washington,Miller et al (2020),education,High school diploma or GED,36 months,g,0.6845326000929935,0.5976599014297778,0.7714052987562093,3592,0.04432361989733309,0.001964583280803262,"0.68 [0.6, 0.77]"
Extended foster care in Washington,Miller et al (2020),education,Undertook postsecondary education,36 months,g,0.4041766208830558,0.31962041674345276,0.4887328250226588,3592,0.04314171321849361,0.0018612074194267463,"0.4 [0.32, 0.49]"
Extended care in Illinois (Midwest Evaluation of the Adult Functioning of Former Foster Youth),Courtney and Hook (2017),education,Educational attainment (high school completion or one year of college or more),96 months,g,0.06531189768749497,0.009337606152753537,0.12128618922223641,650,0.028558836782848828,8.156071583893992e-4,"0.07 [0.01, 0.12]"
Extended care in Illinois (Midwest Evaluation of the Adult Functioning of Former Foster Youth),Okpych and Courtney (2020),education,College enrolment by 21,36 months,g,0.06003143611212452,0.03409740142421343,0.08596547080003561,713,0.01323189349012301,1.7508300533395968e-4,"0.06 [0.03, 0.09]"
Extended care in Illinois (Midwest Evaluation of the Adult Functioning of Former Foster Youth),Okpych and Courtney (2020),education,College enrolment by 29/30,132 months,g,0.015420663295741783,-0.011593956170832271,0.04243528276231584,702,0.013783222385544802,1.8997721932938335e-4,"0.02 [-0.01, 0.04]"
Extended care in Illinois (Midwest Evaluation of the Adult Functioning of Former Foster Youth),Okpych and Courtney (2020),education,Two semester college persistence,36 months,g,0.03736581218141047,-0.02314693542371541,0.09787855978653634,228,0.030874418143620356,9.532296957071139e-4,"0.04 [-0.02, 0.1]"
Extended care in Illinois (Midwest Evaluation of the Adult Functioning of Former Foster Youth),Okpych and Courtney (2020),education,Two-/four-Year Degree completion by Age 29/30,132 months,g,-0.024751055699756507,-0.05608801428098241,0.006585902881469392,319,0.01598853796723197,2.556333463296182e-4,"-0.02 [-0.06, 0.01]"
